crop_type,soil_type,region,season,farm_size_acres,temperature_C,rainfall_mm,soil_moisture_percent,humidity_percent,groundwater_availability,irrigation_type
Maize,Loam,Sub-Humid,Kharif,48.279965604343104,30.43085831639484,631.1476015150355,42.008561312961,83.15173062589861,Low,Drip
Vegetable,Silty,Arid,Zaid,48.80467793339546,40.343552673285245,95.61448522473098,46.141024381083675,44.221735470593444,High,Drip
Rice,Loam,Sub-Humid,Rabi,4.503211847551285,12.76500511497055,400.34421093866445,39.98201324580754,71.63749255740248,High,Sprinkler
Rice,Clay,Arid,Kharif,35.872498173653085,35.98453329412241,37.5364347246893,56.21381637024119,40.99504227094572,High,Drip
Vegetable,Clayey Loam,Semi-Arid,Zaid,12.762683980307294,35.13320106127243,283.5162238703057,34.91808750558831,76.83845828482768,Low,Drip
Rice,Clayey Loam,Arid,Kharif,35.33106403931117,42.10921168022014,6.109320347845521,43.19216803611276,27.337562048825113,High,Drip
Vegetable,Clayey Loam,Semi-Arid,Kharif,30.984579853584716,32.970094687947466,230.15549477139191,54.45655556073507,23.397800732903338,Medium,Drip
Maize,Clay,Arid,Zaid,34.356206585207985,37.169416622801066,75.15598258728889,53.10958150729397,90.79187034205678,Medium,Drip
Cotton,Sandy,Sub-Humid,Zaid,40.654606748432144,30.184506004976473,529.3468166687733,67.44476330207686,66.94547525761796,Medium,Drip
Rice,Sandy,Sub-Humid,Rabi,5.4885110681826195,11.040419513127482,378.31645391571857,11.27552779560848,27.08322205669463,High,Drip
Sugarcane,Sandy,Arid,Kharif,13.404379147677204,31.8124913892848,102.24205034591846,44.722621800538434,71.96677690189546,Medium,Drip
Cotton,Clayey Loam,Semi-Arid,Kharif,9.28325741709628,30.64069145142613,341.0442791154546,62.54303261486008,80.5126054450448,Low,Drip
Rice,Loam,Sub-Humid,Rabi,46.57248761737645,15.112053103795269,610.5651842967987,70.08889262901083,52.17455205312638,Low,Drip
Wheat,Sandy,Semi-Arid,Kharif,41.409644572333214,35.105047448957144,370.76587200387,32.40347207214282,87.16424213721504,Medium,Drip
Rice,Silty,Sub-Humid,Kharif,47.86164381375959,32.09810380925441,638.857257638236,57.37389330970123,56.189071223198184,Low,Drip
Cotton,Clayey Loam,Humid,Zaid,47.33662987264367,31.61637421541189,876.8515261729003,64.69072353298418,28.509845151308603,Low,Drip
Wheat,Clay,Arid,Zaid,44.44135704653584,35.50601852334741,82.42933234856034,34.5640508786455,28.78002623207044,Medium,Drip
Grapes,Sandy,Arid,Rabi,35.19797200722644,11.261602091724962,15.168401418418537,15.093410445493546,81.63950444677673,Low,Drip
Cotton,Clay,Humid,Kharif,43.22535683845569,36.626108344535645,716.614036212264,71.62519780468918,37.751389526155904,Low,Drip
Maize,Sandy,Humid,Rabi,35.40167603268466,15.669813851833817,840.8334939820577,27.410690810120155,44.76893967643239,High,Flood
Barley,Loam,Humid,Kharif,6.38148685526956,26.126065513636746,834.3303209970632,18.22683727439734,68.69077265870476,Medium,Flood
Rice,Loam,Humid,Rabi,43.495656845378285,14.28568129422791,787.435289761852,25.651708696361684,92.24169045804585,Low,Drip
Grapes,Clayey Loam,Sub-Humid,Kharif,46.269844846068004,25.868015665963455,429.07455531103346,74.33810006950615,38.97426259919308,Low,Drip
Sugarcane,Silty,Humid,Rabi,22.999782706004776,20.436230334769256,914.6993190676312,53.92906560588444,63.82357339423252,High,Flood
Vegetable,Sandy,Semi-Arid,Rabi,14.230368557566068,19.30198896702305,236.69702583571387,23.168481180663292,54.77738037049866,Medium,Drip
Cotton,Silty,Arid,Kharif,2.099639579927698,34.06481693657662,38.992479428139404,29.5834455018262,50.84050406541397,Low,Manual
Wheat,Silty,Sub-Humid,Kharif,47.51509570795024,41.45074485846338,664.370873797537,60.8003655871852,66.00613969518423,Low,Drip
Cotton,Clay,Sub-Humid,Rabi,20.857128270975767,12.472513917055014,520.635149017628,64.43215986146579,56.0277561399766,Medium,Sprinkler
Maize,Sandy,Semi-Arid,Kharif,42.18488669521758,44.398287956292066,214.26725698930647,68.68300932977965,55.15198698462277,Medium,Drip
Sugarcane,Sandy,Humid,Zaid,37.620582098763606,37.08388667550087,945.857198584456,73.921602658035,63.886214924410396,Medium,Flood
Wheat,Clayey Loam,Arid,Rabi,6.893391049999002,16.758162029651402,37.10221526147965,76.78357190811056,65.463097583816,High,Drip
Barley,Sandy,Humid,Rabi,26.255231194737767,20.073597933891996,656.7787960998145,64.06228742149474,59.012262583399504,High,Flood
Grapes,Sandy,Arid,Kharif,7.133753808306716,33.06965732424794,131.49804039875175,12.014787341933728,76.63529417552142,Medium,Drip
Wheat,Clay,Semi-Arid,Zaid,17.85408416092655,28.247259316353993,140.91144267603093,51.29423807982432,49.41830338247992,High,Drip
Sugarcane,Loam,Semi-Arid,Rabi,20.12886772490287,21.754795191117147,254.19684674794323,53.54606901595115,84.67727815600588,Low,Drip
Wheat,Clayey Loam,Sub-Humid,Rabi,23.227219933793936,13.873665824484375,496.84651723181526,78.6022802699834,56.94635704946522,Low,Drip
Wheat,Loam,Semi-Arid,Zaid,29.445922244483107,35.82202570272072,261.179025014221,38.021034223719695,72.32506802726988,High,Drip
Grapes,Silty,Sub-Humid,Kharif,48.66896228887016,35.304721097284215,649.7270419417669,52.135477687867215,36.78867994297404,High,Flood
Wheat,Clayey Loam,Arid,Rabi,26.95396343475989,18.23072963811113,4.770702222774769,34.919403899039025,87.06629471719442,Low,Drip
Rice,Clay,Humid,Zaid,34.54534349625611,36.17947169895699,646.1452931143731,45.81599094830828,31.77332620371453,Low,Drip
Vegetable,Clayey Loam,Humid,Rabi,49.31972129540735,18.95917123383146,642.258503840341,47.56134521911328,89.30313193305749,Low,Drip
Barley,Clay,Sub-Humid,Zaid,2.315818543084596,40.70700594827386,485.01388645325915,27.67058610408145,73.50121894134143,Medium,Sprinkler
Maize,Loam,Semi-Arid,Kharif,12.502289929919119,35.65234532910046,234.2237100470364,28.84702616645667,48.2963122328467,Medium,Drip
Cotton,Sandy,Humid,Zaid,44.5811003966248,30.03595624092727,763.7486760889574,51.551471748783406,70.93267393583672,Medium,Flood
Sugarcane,Sandy,Humid,Rabi,28.108242164546652,21.052337130923693,892.0997423570846,51.057480426253136,62.334390689198095,High,Flood
Cotton,Sandy,Humid,Rabi,25.16326104352254,13.665297331969818,903.7776111467864,33.124393689663975,90.0268867819906,Medium,Flood
Wheat,Clayey Loam,Arid,Rabi,4.850437414737121,22.762262767542193,73.17147012131069,66.41054207188003,24.17401170177315,High,Drip
Rice,Loam,Semi-Arid,Zaid,20.19385215276421,29.90466133685689,394.7135850725819,77.86293032927583,84.91303444204851,Low,Drip
Barley,Sandy,Arid,Rabi,26.98431823622307,20.776859062548304,123.12922097300289,43.36336388884884,82.89369190269686,High,Drip
Wheat,Clay,Arid,Zaid,35.5078897344,37.00728039407898,110.43707755477323,63.74456510099871,26.54676346922566,Low,Drip
Barley,Loam,Semi-Arid,Kharif,22.986264624845433,32.38460963019792,278.16492926736964,48.402218255670725,61.1691484916733,High,Drip
Cotton,Clayey Loam,Sub-Humid,Rabi,6.276455175013226,10.040663491214945,355.5299093768082,43.12163407363246,65.4576410791879,Low,Drip
Sugarcane,Sandy,Humid,Rabi,46.94785261264137,20.963012128054665,662.1486117427723,22.68631463159621,24.987220052508313,Medium,Flood
Vegetable,Silty,Sub-Humid,Kharif,8.600969171852373,29.032546400954892,618.1069247439561,21.498605855169508,81.09310401735365,High,Flood
Sugarcane,Clay,Arid,Kharif,22.871455764302443,38.65964126834265,88.24600136925851,59.96477183987282,87.47505839691298,Low,Drip
Wheat,Sandy,Semi-Arid,Zaid,19.878364454974346,34.04116168091273,273.2458812718377,47.23002357817218,24.996433429311274,High,Drip
Vegetable,Loam,Semi-Arid,Zaid,17.077827925525764,38.671036902214105,381.94963708404254,19.749045086437107,79.5518891952722,Medium,Sprinkler
Wheat,Sandy,Sub-Humid,Rabi,37.74395444192172,24.96538923885765,529.2603397029554,59.48863228704213,78.39289542880633,High,Drip
Rice,Silty,Arid,Rabi,5.594343521835178,21.31952937790175,74.0972230696294,47.553694603921635,48.41161741676868,Medium,Drip
Wheat,Silty,Sub-Humid,Zaid,20.743281265731916,36.268077193925336,515.9442548451347,64.03173864187715,20.915230423853338,Low,Drip
Sugarcane,Loam,Sub-Humid,Rabi,47.974202330919375,22.401982417136175,539.6117459109306,33.97669800249804,37.05132372724903,High,Sprinkler
Maize,Clay,Arid,Zaid,30.76698465401507,36.600107541035925,87.93447480251959,11.267712867458835,85.40929317081137,Medium,Drip
Grapes,Silty,Sub-Humid,Kharif,29.026273828257253,28.050780858285226,582.8954537253594,52.470053246799914,51.80980034767895,Low,Drip
Wheat,Sandy,Arid,Zaid,8.693265263180843,32.01040258811638,18.42161727686007,23.04246156458845,82.81180917518691,High,Drip
Rice,Loam,Sub-Humid,Zaid,10.676200514594056,40.65224408133591,451.7222793542195,65.14529221001447,65.27911487976041,Low,Drip
Sugarcane,Silty,Humid,Rabi,24.30143041540914,16.985501834782198,1061.4801158992425,74.29183074575108,64.03011681024253,High,Flood
Sugarcane,Silty,Semi-Arid,Zaid,21.23680975047512,36.47225213657116,152.916095951867,74.039213074767,47.179542433747486,Medium,Drip
Maize,Loam,Arid,Rabi,48.07298071473803,12.670539503046271,99.53060580250659,20.406390942717906,51.09680927952678,Medium,Drip
Grapes,Clayey Loam,Sub-Humid,Kharif,37.6230432847593,26.34152954776855,538.1540069280175,24.693391516691,87.35407170805352,High,Sprinkler
Vegetable,Clayey Loam,Humid,Kharif,3.752577651703442,36.29682266525233,836.0334725549997,64.28693316865073,53.99666260610207,Low,Drip
Cotton,Silty,Humid,Rabi,9.50544245951592,12.328603688960687,879.8201656541089,70.32499347094621,90.95865966002245,Medium,Flood
Vegetable,Clay,Arid,Zaid,48.95710606299008,41.61274611526406,78.98676999889406,68.78522016195994,85.02453200086427,Medium,Drip
Vegetable,Sandy,Humid,Zaid,1.4756716188410257,39.42217664117838,715.5373982940357,17.28760073892017,79.9937064029892,High,Flood
Sugarcane,Loam,Humid,Zaid,30.35827140776049,44.80838929324253,1002.6574836789525,66.47951042738103,92.1986988916156,Medium,Flood
Grapes,Clayey Loam,Arid,Kharif,1.1435952137814338,42.9267163704224,43.97215953915199,15.985597159812766,35.59146913595205,Medium,Manual
Sugarcane,Clayey Loam,Semi-Arid,Kharif,17.419958909044862,41.34887123476882,367.8015133230925,28.159640340190474,48.47693061254502,Medium,Sprinkler
Maize,Silty,Sub-Humid,Kharif,22.088263192198177,36.0409436170396,463.7646608764962,30.612603167934235,91.13399802216175,Low,Drip
Barley,Silty,Sub-Humid,Kharif,23.817739908343814,44.707346244834696,526.3106479866242,22.747499717510827,56.35837753627596,Medium,Sprinkler
Rice,Sandy,Sub-Humid,Rabi,32.43018130458181,13.270346612411297,461.02001743879225,39.51927541872973,29.92071583439978,Low,Drip
Wheat,Clayey Loam,Arid,Zaid,6.328678603061986,43.543079711528485,2.75860148212001,50.35615328599775,40.554141551540454,Low,Drip
Rice,Clayey Loam,Humid,Rabi,7.430917663692226,11.598680951930115,960.1012908161479,28.45786618442315,39.98737950281617,Medium,Flood
Sugarcane,Clay,Sub-Humid,Kharif,41.986294677325645,36.46588756358801,497.7095400553086,38.3067051084317,77.81835327982029,Low,Drip
Barley,Clay,Sub-Humid,Rabi,38.66380331400619,11.355054408664119,373.74836827158526,14.777479374786411,82.7809243027272,High,Sprinkler
Sugarcane,Silty,Humid,Zaid,20.134143966076685,44.13821554998202,905.2023335039788,76.78608555777431,30.125095806590522,High,Flood
Vegetable,Sandy,Arid,Zaid,25.0701292364612,28.874238829232254,89.26168960503823,51.778999424182246,45.06829181127206,High,Drip
Cotton,Clay,Humid,Kharif,35.39381470960318,33.255871012135046,775.7700805671094,51.88002407877082,54.476113457084836,Low,Drip
Sugarcane,Loam,Arid,Kharif,18.368207898531328,36.80461333738174,40.8217705844944,16.410745132864392,88.7985181596682,High,Drip
Wheat,Sandy,Arid,Kharif,47.92945425369455,26.73410423724367,78.1951001120354,63.087468976197705,67.92120390006963,High,Drip
Rice,Clayey Loam,Arid,Rabi,34.812172967117775,19.69997378675745,135.50457189540373,13.6117064661097,70.24380984125294,Low,Drip
Vegetable,Clay,Sub-Humid,Zaid,45.816670730608074,37.6550689193947,372.2301380509334,12.37621850100592,72.30652004351299,Low,Drip
Rice,Loam,Sub-Humid,Rabi,43.17111122397102,17.113213249861957,677.7065956453736,69.11845789745493,43.932535493244174,High,Flood
Cotton,Sandy,Arid,Zaid,44.307418647902416,36.17805202534947,84.1015791005271,47.11855928444301,53.07741213111212,High,Drip
Maize,Silty,Semi-Arid,Zaid,37.023860461872985,39.24813797636921,261.5204471142363,46.41176769151123,52.01127924911483,Low,Drip
Grapes,Clay,Semi-Arid,Zaid,9.680909024047763,28.00403790079004,397.1023940025331,36.8774722943808,89.94424320689397,Medium,Sprinkler
Sugarcane,Silty,Humid,Rabi,31.56152042930932,17.198134304558632,800.9654568046211,71.15739799304372,93.80626018994714,Low,Drip
Cotton,Sandy,Semi-Arid,Zaid,23.631882943613803,28.056888154730647,319.6815421553936,30.790201351841755,83.9616366268926,Low,Drip
Cotton,Clayey Loam,Humid,Kharif,19.524169034404242,33.55546267471725,1093.861194868016,57.575309788514886,36.369041589879814,Low,Drip
Cotton,Clayey Loam,Humid,Kharif,44.267849417509396,44.64661030160163,894.2771144866226,52.05589125095386,87.77929753814529,High,Flood
Cotton,Sandy,Semi-Arid,Zaid,25.878081295317173,38.3315255129406,294.8939946977105,26.146886820243108,33.23960240041312,Low,Drip
Cotton,Sandy,Humid,Rabi,31.674007188309577,22.011545306948125,1013.1028478969829,25.142681612558746,58.86952750072941,High,Flood
Grapes,Clay,Humid,Kharif,34.953020593662714,40.164769514081826,798.1210094513294,20.772713443789854,81.18748437429633,High,Flood
Barley,Clayey Loam,Sub-Humid,Kharif,43.076277412687226,42.8984288245568,313.94606409352997,42.02024684415951,49.33773245602848,High,Sprinkler
Sugarcane,Silty,Humid,Kharif,40.57104569888146,42.24255234530901,1077.8257491148765,55.86693864473152,61.31430279568545,High,Flood
Sugarcane,Clay,Sub-Humid,Zaid,25.045848886399156,40.298141932705946,403.9015135041305,15.673235113535355,36.51374014623585,Medium,Sprinkler
Wheat,Silty,Humid,Kharif,26.045911511959023,42.658125382749226,630.7585131196175,73.4559603611206,62.84892064396806,Low,Drip
Vegetable,Clay,Sub-Humid,Zaid,39.972588069542944,42.93670976803769,406.81130806776855,56.091628426089784,83.79362968206814,Low,Drip
Sugarcane,Sandy,Humid,Zaid,31.121263221651624,39.562393119925105,948.7357308346418,62.69016476903489,31.89538289698053,Low,Drip
Sugarcane,Clayey Loam,Arid,Kharif,41.087372411700954,25.102903415094296,131.86072203421975,26.003761306744646,88.15259819520259,High,Drip
Cotton,Silty,Arid,Rabi,14.708387592158182,10.095788075752504,76.12016006412543,53.18488428630195,93.58896335205677,Low,Drip
Rice,Clay,Sub-Humid,Kharif,1.4121720775417648,30.666858965311633,351.3794872372765,40.25685487247586,83.0091127055914,High,Sprinkler
Grapes,Silty,Semi-Arid,Rabi,34.55034325389026,24.05842730854677,130.75291839720379,14.748594137362034,42.57226752101122,Low,Drip
Rice,Silty,Arid,Kharif,4.197373679013774,26.158409211175965,71.03608326526327,69.66902614390534,94.26112795629852,Medium,Drip
Maize,Clayey Loam,Sub-Humid,Zaid,3.7484941564136407,34.52140842689557,537.7583436914181,67.50590631852086,47.88751469290435,High,Sprinkler
Vegetable,Loam,Semi-Arid,Rabi,49.8576627578067,14.104399994224988,233.7708119130245,39.83269115651811,53.85402682472566,High,Drip
Maize,Clayey Loam,Humid,Zaid,7.001088757264213,31.91091261153438,986.4113900084022,70.76380257726049,92.2427490080099,Medium,Flood
Vegetable,Silty,Humid,Kharif,20.180922699158316,37.77051895328171,809.8636584630611,29.1950641644069,93.79832359698712,High,Flood
Rice,Clay,Sub-Humid,Rabi,43.47207926778128,13.00538715323069,598.3348048123858,60.04468281415733,62.206271475753695,High,Flood
Grapes,Loam,Sub-Humid,Rabi,38.66063130988057,21.648952791876127,647.4492671822443,69.13482596818213,77.07679932072492,Low,Drip
Sugarcane,Clayey Loam,Sub-Humid,Kharif,24.33535639987123,40.93074581952352,546.6601258082952,18.211573227367616,29.388934415191283,Medium,Sprinkler
Grapes,Silty,Sub-Humid,Kharif,32.7502136067121,28.216509381563803,390.2160569774942,32.81478247664524,64.26979541642169,Medium,Sprinkler
Vegetable,Loam,Sub-Humid,Kharif,19.9284310421309,26.448937755891176,304.64821596324026,43.595718430198644,65.00154110894778,Low,Drip
Vegetable,Loam,Humid,Kharif,36.35212275225739,43.156373059692804,1076.3243190193584,62.44131473708982,30.94415555263591,Low,Drip
Grapes,Sandy,Arid,Zaid,28.20260983260225,39.941904499249766,92.72336014771787,10.683959319342856,44.48459811829939,Medium,Drip
Cotton,Sandy,Humid,Kharif,18.211166870949434,41.490280937936674,641.2542672202106,32.54662915535347,93.30997897360893,Low,Drip
Cotton,Clay,Arid,Zaid,47.60172373058868,39.396552792025005,6.177524291890752,18.695397670964155,87.21659770137788,Medium,Drip
Rice,Sandy,Semi-Arid,Zaid,35.84730314055518,42.806475103683454,312.71815583527496,66.12096581488544,45.45876444071045,Low,Drip
Sugarcane,Loam,Sub-Humid,Rabi,2.5173282515774016,17.213557471734774,613.5330213675447,21.479963669264805,52.89554123671538,Medium,Flood
Cotton,Silty,Semi-Arid,Kharif,48.805330163047,29.384279747160885,361.5350699776605,33.58270542397748,33.658843676652445,Low,Drip
Maize,Clayey Loam,Semi-Arid,Zaid,16.94957395507789,39.105471327034614,106.25834178746143,47.97350450035572,56.99576350878497,Medium,Drip
Grapes,Clay,Semi-Arid,Zaid,13.255302981305077,28.521092537498703,121.65952269375275,42.383606971752144,85.12043790562853,Low,Drip
Maize,Clay,Humid,Kharif,43.4180590580612,25.80218382824965,1093.8247818680288,50.507278600067536,52.89615643921928,Medium,Flood
Wheat,Clay,Sub-Humid,Rabi,14.202975963135053,16.32581390310183,660.2807456045034,51.464523001535355,88.42725092125183,High,Flood
Grapes,Loam,Humid,Rabi,35.93333575176339,11.973515276908897,966.5565112076405,73.63227644659487,33.47623316526815,Low,Drip
Grapes,Clay,Semi-Arid,Kharif,5.320972931400832,33.74330777633653,120.73983585598583,38.35145593562251,64.46887998738364,Low,Drip
Maize,Sandy,Sub-Humid,Rabi,48.48590995559673,15.86622304977641,365.4095490340091,28.069340289078927,69.25524984059692,High,Drip
Maize,Sandy,Sub-Humid,Kharif,4.138088992835627,29.72100926692928,481.5158165534557,21.883053356127853,58.98304614170132,High,Drip
Cotton,Silty,Arid,Kharif,47.45487606514597,36.75768742220774,67.41507528206066,27.67694474527935,46.94380609371842,Low,Drip
Grapes,Sandy,Semi-Arid,Kharif,42.286437223975256,34.492617514996276,299.1413582865415,66.39691070650372,63.901577329756414,High,Drip
Maize,Silty,Semi-Arid,Kharif,11.940980165168508,27.459416170592533,396.00789410714845,13.618778606906886,68.00022251276853,Medium,Sprinkler
Sugarcane,Clayey Loam,Humid,Zaid,34.566289360396475,37.93940190752401,651.6544785620079,37.81652919250807,55.99228111940549,Low,Drip
Sugarcane,Loam,Arid,Rabi,23.009622853876024,23.01877441780033,95.86799067232505,46.09172200054752,56.66349351926901,Low,Drip
Grapes,Silty,Semi-Arid,Rabi,36.778496457896416,24.097296878902625,143.06270861181787,21.366732626362463,34.126181282420106,Low,Drip
Maize,Clayey Loam,Sub-Humid,Rabi,33.25080134337176,13.829597870926477,685.3387331281597,78.50419011803713,48.072257535484454,Low,Drip
Barley,Clay,Arid,Kharif,2.0041594549934247,36.41219493277659,130.33574767180772,75.16640868548845,71.71450632736708,Medium,Manual
Rice,Sandy,Semi-Arid,Zaid,5.776355000245541,39.07096060970537,218.15932169624756,56.04917132221252,94.9560294328,Medium,Drip
Barley,Sandy,Humid,Kharif,28.567304918840055,40.647709681165466,1035.3767251686295,61.69144464759285,85.88866709760109,Low,Drip
Wheat,Silty,Arid,Zaid,16.20118797988723,42.92414970370257,135.20634743826665,70.82304378783996,48.17541889112948,Medium,Drip
Barley,Sandy,Humid,Zaid,34.92562673114818,34.73493575735734,783.2307674356989,37.1990670889242,53.6520216966898,Low,Drip
Rice,Sandy,Semi-Arid,Rabi,32.30751046288589,12.526665777140796,276.1185123103453,63.15410295460062,57.53339818480561,Medium,Drip
Wheat,Clay,Sub-Humid,Rabi,5.891457921413206,22.206494324793795,665.694606380588,20.42942991791363,59.49678479517197,Medium,Flood
Maize,Silty,Sub-Humid,Zaid,36.047092273211476,41.82075755817359,605.9533046168513,76.88665871684543,21.367443700727122,High,Flood
Maize,Loam,Semi-Arid,Zaid,46.38820996741718,32.139199041797085,369.4091646849961,14.21871732026926,90.08270201041357,Low,Drip
Barley,Loam,Arid,Rabi,33.66975371324161,17.84627086872677,92.60276361194613,75.07241141953925,59.91951600042801,Low,Drip
Vegetable,Clay,Sub-Humid,Rabi,41.247113771985184,24.650878579938684,459.96208272166245,46.57367283612828,29.241699062912453,Medium,Sprinkler
Grapes,Clay,Semi-Arid,Kharif,28.581954871630725,27.137538461894877,312.7138785167298,27.959394859095465,92.21951564281848,High,Sprinkler
Grapes,Sandy,Sub-Humid,Kharif,32.08026768676824,25.051680296899647,344.92173776448766,46.06226192336121,64.51539268423605,Medium,Drip
Cotton,Sandy,Semi-Arid,Rabi,38.61226266245811,23.588366571816405,208.23175573317997,48.96459405557021,39.17337483569543,Medium,Drip
Grapes,Clay,Sub-Humid,Zaid,31.381036571490363,29.624100335189357,567.0199597165881,41.62373751160604,63.99563473816056,High,Flood
Maize,Sandy,Semi-Arid,Rabi,1.6701100092936516,11.435718332802425,165.0219400272327,54.938005031028624,65.53205270665856,Low,Manual
Vegetable,Loam,Arid,Kharif,7.517832479591542,26.16909228217108,94.80232290306277,29.217817780008776,64.77851876717688,Medium,Drip
Cotton,Loam,Arid,Rabi,49.56717168825832,20.386542269865544,107.63966484872644,18.987600261788767,27.808223703812473,Low,Drip
Cotton,Clay,Sub-Humid,Zaid,44.76244829587385,29.456190243139318,331.76774759559464,23.430712730312003,44.25286715866406,Low,Drip
Sugarcane,Sandy,Semi-Arid,Kharif,3.9616144826169895,38.392052322679234,349.5589339754266,54.811775667971624,40.33605773751386,Low,Drip
Vegetable,Clay,Semi-Arid,Rabi,3.0907743514321613,12.854872942286017,237.0575934641106,36.493349644010834,47.2208203884494,Low,Drip
Sugarcane,Clay,Semi-Arid,Rabi,9.177495646704152,24.364379267580702,268.689044763373,58.3003423574466,35.07002664942924,Medium,Drip
Vegetable,Clay,Arid,Rabi,15.392228863486126,10.018550196391141,123.27096658516302,78.68654620410128,55.61649076296639,Low,Drip
